sample_id	cram	crai	population
HG03369	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3242626/HG03369.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3242626/HG03369.final.cram.crai	ESN
HG03470	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3242535/HG03470.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3242535/HG03470.final.cram.crai	MSL
HG03521	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3243008/HG03521.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3243008/HG03521.final.cram.crai	ESN
HG03583	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3242584/HG03583.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3242584/HG03583.final.cram.crai	MSL
HG03742	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3242914/HG03742.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3242914/HG03742.final.cram.crai	ITU
HG03784	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3242715/HG03784.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3242715/HG03784.final.cram.crai	ITU
HG03874	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3242722/HG03874.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3242722/HG03874.final.cram.crai	ITU
NA18505	https://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239342/NA18505.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239342/NA18505.final.cram.crai	YRI
NA18508	https://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239344/NA18508.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239344/NA18508.final.cram.crai	YRI
NA18522	https://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239351/NA18522.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239351/NA18522.final.cram.crai	YRI
NA18565	https://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239656/NA18565.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239656/NA18565.final.cram.crai	CHB
NA18570	https://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239368/NA18570.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239368/NA18570.final.cram.crai	CHB
